epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9311,2.76493,3.21473,2.34202,0.01163,1,0.995,0.2191,2.37078,2.44883,1.52446,0.00014,0.00014,0.00014
2,25.1197,1.59178,2.37649,1.41815,0.01099,1,0.995,0.6965,0.99689,2.1688,0.82672,0.0002406,0.0002406,0.0002406
3,36.043,1.09462,1.54308,1.14153,0.99204,1,0.995,0.796,0.87047,1.6498,0.56131,0.00027784,0.00027784,0.00027784
4,47.1002,0.89241,1.15981,1.04564,0.99586,1,0.995,0.6965,1.01455,1.43327,0.47634,0.00025172,0.00025172,0.00025172
5,58.1104,0.81106,1.01883,0.98612,0.99574,1,0.995,0.796,0.97779,1.34762,0.47349,0.00016224,0.00016224,0.00016224
